time,D,S1,S2,Z,C,pH
22.75,0.02797298560902287,31.571598866968905,0.0,1.0000000000000018e-05,0.0,7.4
23.0,0.028035703952409466,31.573777952324733,0.0,1.0000000000000018e-05,0.0,7.4
23.25,0.028098376082733557,31.576411400507595,0.0,1.0000000000000018e-05,0.0,7.4
23.5,0.02816099264505379,31.57950113077726,0.0,1.0000000000000018e-05,0.0,7.4
23.75,0.02822354433208013,31.583048944288276,0.0,1.0000000000000018e-05,0.0,7.4
24.0,0.028286021885707495,31.587056523598893,0.0,1.0000000000000018e-05,0.0,7.4
24.25,0.028348416098535657,31.591525432207423,0.0,1.0000000000000018e-05,0.0,7.4
24.5,0.02841071781537504,31.596457114115918,0.0,1.0000000000000018e-05,0.0,7.4
24.75,0.028472917934738325,31.601852893421448,0.0,1.0000000000000018e-05,0.0,7.4
25.0,0.028535007410317496,31.607713973935034,0.0,1.0000000000000018e-05,0.0,7.4
25.25,0.0285969772524461,31.61404143882817,0.0,1.0000000000000018e-05,0.0,7.4
25.5,0.02865881852954665,31.620836250307264,0.0,1.0000000000000018e-05,0.0,7.4
25.75,0.028720522369562688,31.62809924931573,0.0,1.0000000000000018e-05,0.0,7.4
26.0,0.02878207996137551,31.63583115526419,0.0,1.0000000000000018e-05,0.0,7.4
26.25,0.028843482556205245,31.6440325657884,0.0,1.0000000000000018e-05,0.0,7.4
26.5,0.028904721468996007,31.652703956535372,0.0,1.0000000000000018e-05,0.0,7.4
26.75,0.028965788079785067,31.661845680977407,0.0,1.0000000000000018e-05,0.0,7.4
27.0,0.029026673835055646,31.671457970254217,0.0,1.0000000000000018e-05,0.0,7.4
27.25,0.02908737024907325,31.68154093304323,0.0,1.0000000000000018e-05,0.0,7.4
27.5,0.029147868905205394,31.692094555457878,0.0,1.0000000000000018e-05,0.0,7.4
27.75,0.029208161457224307,31.70311870097417,0.0,1.0000000000000018e-05,0.0,7.4
28.0,0.029268239630592597,31.714613110385297,0.0,1.0000000000000018e-05,0.0,7.4
28.25,0.02932809522373169,31.726577401784457,0.0,1.0000000000000018e-05,0.0,7.4
28.5,0.029387720109272746,31.73901107057581,0.0,1.0000000000000018e-05,0.0,7.4
28.75,0.029447106235289896,31.75191348951354,0.0,1.0000000000000018e-05,0.0,7.4
29.0,0.02950624562651577,31.765283908769113,0.0,1.0000000000000018e-05,0.0,7.4
29.25,0.02956513038553884,31.779121456026548,0.0,1.0000000000000018e-05,0.0,7.4
29.5,0.029623752693982777,31.793425136605837,0.0,1.0000000000000018e-05,0.0,7.4
29.75,0.029682104813667256,31.808193833614357,0.0,1.0000000000000018e-05,0.0,7.4
30.0,0.02974017908775044,31.8234263081263,0.0,1.0000000000000018e-05,0.0,7.4
30.25,0.029797967941852608,31.839121199390075,0.0,1.0000000000000018e-05,0.0,7.4
30.5,0.029855463885161092,31.855277025063543,0.0,1.0000000000000018e-05,0.0,7.4
30.75,0.029912659511516112,31.87189218147718,0.0,1.0000000000000018e-05,0.0,7.4
31.0,0.029969547500477572,31.888964943924925,0.0,1.0000000000000018e-05,0.0,7.4
31.25,0.030026120618372443,31.906493466982823,0.0,1.0000000000000018e-05,0.0,7.4
31.5,0.030082371719322876,31.92447578485522,0.0,1.0000000000000018e-05,0.0,7.4
31.75,0.03013829374625459,31.94290981174851,0.0,1.0000000000000018e-05,0.0,7.4
32.0,0.030193879731885635,31.961793342272387,0.0,1.0000000000000018e-05,0.0,7.4
32.25,0.03024912279969538,31.981124051868377,0.0,1.0000000000000018e-05,0.0,7.4
32.5,0.030304016164873382,32.00089949726569,0.0,1.0000000000000018e-05,0.0,7.4
32.75,0.03035855313524834,32.02111711696418,0.0,1.0000000000000018e-05,0.0,7.4
33.0,0.030412727112196718,32.041774231744306,0.0,1.0000000000000018e-05,0.0,7.4
33.25,0.030466531591531176,32.0628680452041,0.0,1.0000000000000018e-05,0.0,7.4
33.5,0.030519960164368434,32.08439564432282,0.0,1.0000000000000018e-05,0.0,7.4
33.75,0.030573006517976727,32.10635400005132,0.0,1.0000000000000018e-05,0.0,7.4
34.0,0.03062566443660254,32.128739967928894,0.0,1.0000000000000018e-05,0.0,7.4
34.25,0.030677927802276694,32.15155028872649,0.0,1.0000000000000018e-05,0.0,7.4
34.5,0.030729790595599486,32.17478158911621,0.0,1.0000000000000018e-05,0.0,7.4
34.75,0.030781246896505035,32.1984303823668,0.0,1.0000000000000018e-05,0.0,7.4
35.0,0.030832290885004547,32.22249306906508,0.0,1.0000000000000018e-05,0.0,7.4
35.25,0.0308829168419085,32.24696593786309,0.0,1.0000000000000018e-05,0.0,7.4
35.5,0.030933119149527694,32.27184516625081,0.0,1.0000000000000018e-05,0.0,7.4
35.75,0.030982892292353067,32.29712682135435,0.0,1.0000000000000018e-05,0.0,7.4
36.0,0.03103223085771408,32.32280686075914,0.0,1.0000000000000018e-05,0.0,7.4
36.25,0.031081129536415994,32.34888113335835,0.0,1.0000000000000018e-05,0.0,7.4
36.5,0.031129583123355394,32.37534538022604,0.0,1.0000000000000018e-05,0.0,7.4
36.75,0.031177586518114458,32.40219523551486,0.0,1.0000000000000018e-05,0.0,7.4
37.0,0.03122513472553356,32.429426227378315,0.0,1.0000000000000018e-05,0.0,7.4
37.25,0.03127222285626231,32.45703377891705,0.0,1.0000000000000018e-05,0.0,7.4
